Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Asus,Transformer TF101G,TF101G,,Tablet,nVidia Tegra 2,752x800,160,armeabi-v7a;armeabi,11;12;13;15,2.0;;;;
Asus,ZenPad 10 (Z301MF),ASUS_P028_2,1937MB,Tablet,Mediatek MT8163A,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Asus,The new PadFone Infinity (A86),ASUS-A86,1858-1863MB,Phone,Qualcomm MSM8974,1080x1920,240,armeabi-v7a;armeabi,17;19;21,2.0;3.0;;;;
Asus,ZenFone V Live,ASUS_A009,1850-1852MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0;;;;;
Asus,ZenFone 3 Laser (ZC551KL),Z01B_1,1853-3611MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;25;26,3.1;3.ﬁub;;
Asus,ZenFone 2 (ZE551ML),Z00A,3907MB,Phone,Intel Z3580,1080x1920,480,x86;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone 2 (ZE551ML),Z00A_1,3907MB,Phone,Intel Z3560,1080x1920,480,x86;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone 2 (ZE551ML),Z00A_3,3907MB,Phone,Intel Z3590,1920x1080,480,x86;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone AR,ASUS_A002_1,5774MB,Phone,Qualcomm MSM8996,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Asus,Nexus 7 (2012),tilapia,974-975MB,Tablet,NVidia Tegra 3 T30L,1280x800;800x1205;800x1280,213,armeabi-v7a;armeabi,17;18;19;21;22,2.0;
Asus,Nexus 7 (2012),grouper,974-975MB,Tablet,NVidia Tegra 3 T30L,1280x800;800x1205;800x1280,213,armeabi-v7a;armeabi,16;17;18;19;21;22,2.0
Asus,ZenFone 3 Zoom (ZE553KL),ASUS_Z01H_1,3599-3601MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25;26,3.1;3.ﬁub;;;
Asus,ZenPad 10 (Z301M),ASUS_P028_1,1953MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Asus,MeMO Pad Smart 10,ME301T,975MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,16;17,2.0;;;;;;
Asus,Eee Pad Transformer Prime,TF201,977MB,Tablet,NVidia Tegra 3,1280x800,160,armeabi-v7a;armeabi,13;15;16,2.0;;;;;
Asus,ZenFone 5 (ZE620KL),ASUS_X00QD,3745MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2;;;;;;
Asus,Transformer Pad,TF300T,975-977MB,Tablet,NVidia Tegra 3,1280x800,160,armeabi-v7a;armeabi,15;16;17,2.0;;;;;
Asus,Transformer Pad,K010_1,875MB,Tablet,Intel Z3745,1280x800,160,x86;armeabi-v7a;armeabi,19;21,3.1;;;;;
Asus,ZenFone Live Plus (ZB553KL),ASUS_X00LD_3,1858MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.0;;;;;;
Asus,ZenFone Live Plus (ZB553KL),ASUS_X00LD_2,2846MB,Phone,Qualcomm MSM8937,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Asus,R Series Tablet (R1001ML),ASUS_P00L_M1,1538MB,Tablet,Mediatek MT8735,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Asus,Nexus 7 (2013),deb,1822-1839MB,Tablet,Qualcomm APQ8064,1200x1920,320,armeabi-v7a;armeabi,18;19;21;22;23,3.0;;;
Asus,Nexus 7 (2013),flo,1805-1822MB,Tablet,Qualcomm APQ8064,1200x1920,320,armeabi-v7a;armeabi,18;19;21;22;23,3.0;;;
Asus,ZenFone 3 Deluxe (ZS550KL),ASUS_Z01F_1,3599-3601MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
